Metric                 Average    Deviation
---------------------  ---------  -----------
energy cal             3.94M      433k
alcohol g              0          0
caffeine g             274m       155m
water g                2.88k      841
b1 thiamine g          2.02m      583u
b2 riboflavin g        3.07m      958u
b3 niacin g            25.1m      7.48m
b5 pantothenic acid g  8.07m      2.75m
b6 pyridoxine g        3.68m      1.25m
b12 cobalamin g        7.21u      3.09u
folate g               560u       130u
vitamin a g            1m         456u
vitamin c g            142m       72.3m
vitamin d g            9.53u      6.47u
vitamin e g            9.6m       3.42m
vitamin  g             245u       171u
calcium g              1.68       463m
copper g               1.22m      296u
iron g                 13m        3.64m
magnesium g            365m       103m
manganese g            2.87m      615u
phosphorus g           1.76       585m
potassium g            4.35       1.45
selenium g             133u       48.2u
sodium g               4.33       1.59
zinc g                 12m        5.13m
carbs g                490        87.4
fiber g                58.8       7.48
starch g               95.1       32.5
sugars g               168        35.1
added sugars g         35.2       31.3
net carbs g            429        82.3
fat g                  141        11.8
cholesterol g          512m       301m
monounsaturated g      31.6       7.21
polyunsaturated g      19.5       14.1
saturated g            53.1       10.8
trans fats g           1.43       328m
omega 3 g              4.02       3.86
omega 6 g              13.2       13.1
cystine g              1.11       374m
histidine g            2.71       968m
isoleucine g           3.97       1.45
leucine g              7.3        2.65
lysine g               6.2        2.54
methionine g           2.06       804m
phenylalanine g        4.13       1.43
protein g              204        32.3
threonine g            3.51       1.3
tryptophan g           1.02       387m
tyrosine g             3.39       1.3
valine g               4.85       1.8
